id,quartile,identifiers,areas
Finance,Q1,['0304-405X'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Strategy and Management,Q1,['0304-405X'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Economics and Econometrics,Q1,"['0034-6527', '1467-937X']","['Economics, Econometrics and Finance']"
Immunology,Q1,"['1097-4180', '1074-7613']","['Immunology and Microbiology', 'Medicine']"
Immunology and Allergy,Q1,"['1097-4180', '1074-7613']","['Immunology and Microbiology', 'Medicine']"
Infectious Diseases,Q1,"['1097-4180', '1074-7613']","['Immunology and Microbiology', 'Medicine']"
Biochemistry,Q1,['2520-1158'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering']"
Bioengineering,Q1,['2520-1158'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering']"
Catalysis,Q1,['2520-1158'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering']"
Process Chemistry and Technology,Q1,['2520-1158'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering']"
Epidemiology,Q1,"['0149-2195', '1545-861X']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Health Information Management,Q1,"['0149-2195', '1545-861X']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Health (social science),Q1,"['0149-2195', '1545-861X']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
"Health, Toxicology and Mutagenesis",Q1,"['0149-2195', '1545-861X']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Medicine (miscellaneous),Q1,"['0149-2195', '1545-861X']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Chemistry (miscellaneous),Q1,"['0306-0012', '1460-4744']",['Chemistry']
"Economics, Econometrics and Finance (miscellaneous)",Q1,"['1945-7707', '1945-7715']","['Economics, Econometrics and Finance']"
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q1,['2662-8449'],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q1,['2662-8449'],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Electrochemistry,Q1,"['2097-2431', '2667-1417']","['Chemistry', 'Energy', 'Materials Science']"
Materials Chemistry,Q1,"['2097-2431', '2667-1417']","['Chemistry', 'Energy', 'Materials Science']"
"Renewable Energy, Sustainability and the Environment",Q1,"['2097-2431', '2667-1417']","['Chemistry', 'Energy', 'Materials Science']"
Neuroscience (miscellaneous),Q1,"['1097-6256', '1546-1726']",['Neuroscience']
Oncology,Q1,"['1470-2045', '1474-5488']",['Medicine']
Medicine (miscellaneous),Q1,"['0140-6736', '1474-547X']",['Medicine']
History and Philosophy of Science,Q1,"['1095-9203', '0036-8075']","['Arts and Humanities', 'Multidisciplinary']"
Multidisciplinary,Q1,"['1095-9203', '0036-8075']","['Arts and Humanities', 'Multidisciplinary']"
Cancer Research,Q1,['2662-1347'],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Oncology,Q1,['2662-1347'],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Business and International Management,Q1,"['1547-7185', '0022-2429']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Economics and Econometrics,Q1,"['1547-7185', '0022-2429']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Marketing,Q1,"['1547-7185', '0022-2429']","['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Medicine (miscellaneous),Q1,"['1553-4006', '1553-4014']","['Agricultural and Biological Sciences', 'Medicine']"
Pathology and Forensic Medicine,Q1,"['1553-4006', '1553-4014']","['Agricultural and Biological Sciences', 'Medicine']"
Plant Science,Q1,"['1553-4006', '1553-4014']","['Agricultural and Biological Sciences', 'Medicine']"
Energy (miscellaneous),Q1,['2542-4351'],['Energy']
Electrical and Electronic Engineering,Q1,['2520-1131'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
"Electronic, Optical and Magnetic Materials",Q1,['2520-1131'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Instrumentation,Q1,['2520-1131'],"['Engineering', 'Materials Science', 'Physics and Astronomy']"
Chemical Engineering (miscellaneous),Q1,['2397-3358'],"['Chemical Engineering', 'Chemistry']"
Chemistry (miscellaneous),Q1,['2397-3358'],"['Chemical Engineering', 'Chemistry']"
Cell Biology,Q1,"['1550-4131', '1932-7420']","['Biochemistry, Genetics and Molecular Biology']"
Molecular Biology,Q1,"['1550-4131', '1932-7420']","['Biochemistry, Genetics and Molecular Biology']"
Physiology,Q1,"['1550-4131', '1932-7420']","['Biochemistry, Genetics and Molecular Biology']"
Immunology,Q1,"['1529-2908', '1529-2916']","['Immunology and Microbiology', 'Medicine']"
Immunology and Allergy,Q1,"['1529-2908', '1529-2916']","['Immunology and Microbiology', 'Medicine']"
"Atomic and Molecular Physics, and Optics",Q1,['1749-4885'],"['Materials Science', 'Physics and Astronomy']"
"Electronic, Optical and Magnetic Materials",Q1,['1749-4885'],"['Materials Science', 'Physics and Astronomy']"
Economics and Econometrics,Q1,['0022-0515'],"['Economics, Econometrics and Finance']"
Environmental Chemistry,Q1,"['1754-5692', '1754-5706']","['Energy', 'Environmental Science']"
Nuclear Energy and Engineering,Q1,"['1754-5692', '1754-5706']","['Energy', 'Environmental Science']"
Pollution,Q1,"['1754-5692', '1754-5706']","['Energy', 'Environmental Science']"
"Renewable Energy, Sustainability and the Environment",Q1,"['1754-5692', '1754-5706']","['Energy', 'Environmental Science']"
Medicine (miscellaneous),Q1,"['1522-1210', '0031-9333']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Molecular Biology,Q1,"['1522-1210', '0031-9333']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Physiology,Q1,"['1522-1210', '0031-9333']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Physiology (medical),Q1,"['1522-1210', '0031-9333']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Cancer Research,Q1,"['1527-7755', '0732-183X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q1,"['1527-7755', '0732-183X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Oncology,Q1,"['1527-7755', '0732-183X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
"Business, Management and Accounting (miscellaneous)",Q1,['0363-7425'],"['Business, Management and Accounting']"
Management of Technology and Innovation,Q1,['0363-7425'],"['Business, Management and Accounting']"
Strategy and Management,Q1,['0363-7425'],"['Business, Management and Accounting']"
Epidemiology,Q1,"['1545-8636', '1546-0738']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Health Information Management,Q1,"['1545-8636', '1546-0738']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Health (social science),Q1,"['1545-8636', '1546-0738']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
"Health, Toxicology and Mutagenesis",Q1,"['1545-8636', '1546-0738']","['Environmental Science', 'Health Professions', 'Medicine', 'Social Sciences']"
Cell Biology,Q1,"['1934-5909', '1875-9777']","['Biochemistry, Genetics and Molecular Biology']"
Genetics,Q1,"['1934-5909', '1875-9777']","['Biochemistry, Genetics and Molecular Biology']"
Molecular Medicine,Q1,"['1934-5909', '1875-9777']","['Biochemistry, Genetics and Molecular Biology']"
Endocrinology,Q1,"['2213-8595', '2213-8587']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
"Endocrinology, Diabetes and Metabolism",Q1,"['2213-8595', '2213-8587']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Internal Medicine,Q1,"['2213-8595', '2213-8587']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q1,['2056-676X'],['Medicine']
Physics and Astronomy (miscellaneous),Q1,"['1433-8351', '2367-3613']",['Physics and Astronomy']
Psychology (miscellaneous),Q1,"['2160-0031', '1529-1006']",['Psychology']
Hepatology,Q1,"['1600-0641', '0168-8278']",['Medicine']
Condensed Matter Physics,Q1,"['1947-5454', '1947-5462']","['Materials Science', 'Physics and Astronomy']"
Materials Science (miscellaneous),Q1,"['1947-5454', '1947-5462']","['Materials Science', 'Physics and Astronomy']"
Biochemistry,Q1,"['1545-4509', '0066-4154']","['Biochemistry, Genetics and Molecular Biology']"
Gastroenterology,Q1,"['1759-5045', '1759-5053']",['Medicine']
Hepatology,Q1,"['1759-5045', '1759-5053']",['Medicine']
Astronomy and Astrophysics,Q1,"['0935-4956', '1432-0754']","['Earth and Planetary Sciences', 'Physics and Astronomy']"
Space and Planetary Science,Q1,"['0935-4956', '1432-0754']","['Earth and Planetary Sciences', 'Physics and Astronomy']"
Immunology and Microbiology (miscellaneous),Q1,"['1740-1534', '1740-1526']","['Immunology and Microbiology', 'Medicine']"
Infectious Diseases,Q1,"['1740-1534', '1740-1526']","['Immunology and Microbiology', 'Medicine']"
Microbiology,Q1,"['1740-1534', '1740-1526']","['Immunology and Microbiology', 'Medicine']"
Atmospheric Science,Q1,['2662-138X'],"['Earth and Planetary Sciences', 'Environmental Science']"
Earth-Surface Processes,Q1,['2662-138X'],"['Earth and Planetary Sciences', 'Environmental Science']"
Nature and Landscape Conservation,Q1,['2662-138X'],"['Earth and Planetary Sciences', 'Environmental Science']"
Pollution,Q1,['2662-138X'],"['Earth and Planetary Sciences', 'Environmental Science']"
Cell Biology,Q1,"['1748-7838', '1001-0602']","['Biochemistry, Genetics and Molecular Biology']"
Molecular Biology,Q1,"['1748-7838', '1001-0602']","['Biochemistry, Genetics and Molecular Biology']"
Psychology (miscellaneous),Q1,"['0066-4308', '1545-2085']",['Psychology']
"Public Health, Environmental and Occupational Health",Q1,['2468-2667'],['Medicine']
Cell Biology,Q1,"['1097-4164', '1097-2765']","['Biochemistry, Genetics and Molecular Biology']"
Molecular Biology,Q1,"['1097-4164', '1097-2765']","['Biochemistry, Genetics and Molecular Biology']"
Materials Science (miscellaneous),Q1,"['0935-9648', '1521-4095']","['Engineering', 'Materials Science']"
Mechanical Engineering,Q1,"['0935-9648', '1521-4095']","['Engineering', 'Materials Science']"
Mechanics of Materials,Q1,"['0935-9648', '1521-4095']","['Engineering', 'Materials Science']"
Nanoscience and Nanotechnology,Q1,"['0935-9648', '1521-4095']","['Engineering', 'Materials Science']"
Economics and Econometrics,Q1,"['0304-4076', '1872-6895']","['Economics, Econometrics and Finance']"
Gastroenterology,Q1,['2468-1253'],['Medicine']
Hepatology,Q1,['2468-1253'],['Medicine']
"Economics, Econometrics and Finance (miscellaneous)",Q1,"['1945-7790', '1945-7782']","['Economics, Econometrics and Finance']"
Economics and Econometrics,Q1,"['1941-1383', '1941-1391']","['Economics, Econometrics and Finance']"
Mathematics (miscellaneous),Q1,"['1474-0508', '0962-4929']",['Mathematics']
Numerical Analysis,Q1,"['1474-0508', '0962-4929']",['Mathematics']
Cell Biology,Q1,"['1476-4679', '1465-7392']","['Biochemistry, Genetics and Molecular Biology']"
Geophysics,Q1,"['1944-9208', '8755-1209']",['Earth and Planetary Sciences']
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Q1,['2666-979X'],"['Biochemistry, Genetics and Molecular Biology']"
Genetics,Q1,['2666-979X'],"['Biochemistry, Genetics and Molecular Biology']"
Cardiology and Cardiovascular Medicine,Q1,"['1558-3597', '0735-1097']",['Medicine']
Immunology,Q1,['2470-9468'],"['Immunology and Microbiology', 'Medicine']"
Immunology and Allergy,Q1,['2470-9468'],"['Immunology and Microbiology', 'Medicine']"
Materials Science (miscellaneous),Q1,"['1614-6832', '1614-6840']","['Energy', 'Materials Science']"
"Renewable Energy, Sustainability and the Environment",Q1,"['1614-6832', '1614-6840']","['Energy', 'Materials Science']"
Cancer Research,Q1,"['2059-3635', '2095-9907']","['Biochemistry, Genetics and Molecular Biology']"
Genetics,Q1,"['2059-3635', '2095-9907']","['Biochemistry, Genetics and Molecular Biology']"
"Atomic and Molecular Physics, and Optics",Q1,['1943-8206'],"['Environmental Science', 'Physics and Astronomy']"
Water Science and Technology,Q1,['1943-8206'],"['Environmental Science', 'Physics and Astronomy']"
Computer Networks and Communications,Q1,['0733-8716'],"['Computer Science', 'Engineering']"
Electrical and Electronic Engineering,Q1,['0733-8716'],"['Computer Science', 'Engineering']"
Neuroscience (miscellaneous),Q1,"['0147-006X', '1545-4126']",['Neuroscience']
"Atomic and Molecular Physics, and Optics",Q1,"['2662-8643', '2097-1710']","['Materials Science', 'Physics and Astronomy']"
"Electronic, Optical and Magnetic Materials",Q1,"['2662-8643', '2097-1710']","['Materials Science', 'Physics and Astronomy']"
Neurology (clinical),Q1,"['1474-4465', '1474-4422']",['Medicine']
Cardiology and Cardiovascular Medicine,Q1,"['0009-7322', '1524-4539']",['Medicine']
Physiology (medical),Q1,"['0009-7322', '1524-4539']",['Medicine']
History and Philosophy of Science,Q1,"['0033-2909', '1939-1455']","['Arts and Humanities', 'Psychology']"
Psychology (miscellaneous),Q1,"['0033-2909', '1939-1455']","['Arts and Humanities', 'Psychology']"
Cardiology and Cardiovascular Medicine,Q1,"['1759-5010', '1759-5002']",['Medicine']
Accounting,Q1,['0165-4101'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Economics and Econometrics,Q1,['0165-4101'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Finance,Q1,['0165-4101'],"['Business, Management and Accounting', 'Economics, Econometrics and Finance']"
Business and International Management,Q1,['0001-4273'],"['Business, Management and Accounting']"
"Business, Management and Accounting (miscellaneous)",Q1,['0001-4273'],"['Business, Management and Accounting']"
Management of Technology and Innovation,Q1,['0001-4273'],"['Business, Management and Accounting']"
Strategy and Management,Q1,['0001-4273'],"['Business, Management and Accounting']"
Physics and Astronomy (miscellaneous),Q1,['1745-2473'],['Physics and Astronomy']
Cancer Research,Q1,['1476-4598'],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Molecular Medicine,Q1,['1476-4598'],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Oncology,Q1,['1476-4598'],"['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Artificial Intelligence,Q1,['2666-6510'],['Computer Science']
Computer Science Applications,Q1,['2666-6510'],['Computer Science']
Computer Vision and Pattern Recognition,Q1,['2666-6510'],['Computer Science']
Human-Computer Interaction,Q1,['2666-6510'],['Computer Science']
Information Systems,Q1,['2666-6510'],['Computer Science']
Software,Q1,['2666-6510'],['Computer Science']
Gastroenterology,Q1,"['1468-3288', '0017-5749']",['Medicine']
Economics and Econometrics,Q1,"['1567-2409', '1567-2395']","['Economics, Econometrics and Finance']"
Finance,Q1,"['1567-2409', '1567-2395']","['Economics, Econometrics and Finance']"
Applied Microbiology and Biotechnology,Q1,['2058-5276'],"['Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology', 'Medicine']"
Cell Biology,Q1,['2058-5276'],"['Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology', 'Medicine']"
Genetics,Q1,['2058-5276'],"['Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology', 'Medicine']"
Immunology,Q1,['2058-5276'],"['Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology', 'Medicine']"
Microbiology,Q1,['2058-5276'],"['Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology', 'Medicine']"
Microbiology (medical),Q1,['2058-5276'],"['Biochemistry, Genetics and Molecular Biology', 'Immunology and Microbiology', 'Medicine']"
Pulmonary and Respiratory Medicine,Q1,"['2213-2619', '2213-2600']",['Medicine']
Bioengineering,Q1,['2157-846X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Computer Science', 'Engineering', 'Medicine']"
Biomedical Engineering,Q1,['2157-846X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Computer Science', 'Engineering', 'Medicine']"
Biotechnology,Q1,['2157-846X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Computer Science', 'Engineering', 'Medicine']"
Computer Science Applications,Q1,['2157-846X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Computer Science', 'Engineering', 'Medicine']"
Medicine (miscellaneous),Q1,['2157-846X'],"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Computer Science', 'Engineering', 'Medicine']"
Endocrinology,Q1,"['1945-7189', '0163-769X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
"Endocrinology, Diabetes and Metabolism",Q1,"['1945-7189', '0163-769X']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Medicine (miscellaneous),Q1,"['1556-1380', '1556-0864']",['Medicine']
Oncology,Q1,"['1556-1380', '1556-0864']",['Medicine']
Pulmonary and Respiratory Medicine,Q1,"['1556-1380', '1556-0864']",['Medicine']
Neuroscience (miscellaneous),Q1,"['1471-0048', '1471-003X']",['Neuroscience']
Cancer Research,Q1,"['2374-2445', '2374-2437']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Oncology,Q1,"['2374-2445', '2374-2437']","['Biochemistry, Genetics and Molecular Biology', 'Medicine']"
Physics and Astronomy (miscellaneous),Q1,['2522-5820'],['Physics and Astronomy']
Biological Psychiatry,Q1,"['2215-0374', '2215-0366']","['Medicine', 'Neuroscience']"
