Journal title,Journal ISSN (print version),Journal EISSN (online version),Languages in which the journal accepts manuscripts,Publisher,DOAJ Seal,Journal license,APC
Ticontre: Teoria Testo Traduzione,N/A,2284-4473,"Spanish, Italian, French, English",Università degli studi di Trento,False,CC BY-NC-ND,False
California Fish and Wildlife Journal,2689-419X,2689-4203,English,California Department of Fish and Wildlife,False,Public domain,True
Agronomy Science,2544-4476,2544-798X,"Polish, English",University of Life Sciences in Lublin - Publishing House,False,"CC BY, CC BY-NC-ND",True
Комплексные исследования детства,N/A,2687-0223,"English, Russian",Herzen State Pedagogical University of Russia,False,CC BY-NC,False
Biology Open,N/A,2046-6390,English,The Company of Biologists,True,CC BY,True
Zeithistorische Forschungen,1612-6033,1612-6041,"English, German",Vandenhoeck & Ruprecht GmbH & Co. KG,False,CC BY-SA,False
Pedagogika. Studia i Rozprawy,2658-1213,N/A,"Polish, English, German, Russian, Ukrainian",Jan Długosz University in Częstochowa,False,CC BY,False
Dermatology Practical & Conceptual,N/A,2160-9381,English,Mattioli1885,False,CC BY-NC,False
Известия Саратовского университета: Новая серия. Серия Философия. Психология. Педагогика,1819-7671,2542-1948,"English, Russian",Saratov State University,False,CC BY,False
Central European Journal of Educational Research,N/A,2677-0326,English,Debrecen University Press,False,CC BY,False
"Модели, системы, сети в экономике, технике, природе и обществе",2227-8486,N/A,"English, Russian",Penza State University Publishing House,False,CC BY,False
Етически изследвания,N/A,2534-8434,"Bulgarian, English, Russian",Bulgarian Academy of Sciences,False,CC BY-NC-ND,False
Revista Perspectivas,N/A,2590-9215,Spanish,Universidad Francisco de Paula Santander,False,CC BY,False
Análisis,0120-8454,2145-9169,"Spanish, Portuguese, German, English",Universidad Santo Tomás,False,CC BY-SA,False
Online Journal of Rural Nursing and Health Care,N/A,1539-3399,English,Rural Nurse Organization; Binghamton University,False,CC BY-NC,False
Интеграция образования,1991-9468,2308-1058,Russian,National Research Mordova State University,True,CC BY,False
Пенитенциарная наука,2686-9764,2782-1986,"Russian, English","Federal Penitentiary Service of Russia, Vologda Law and Economics Institute (VIPE FSIN Russia)",False,CC BY,False
Journal of Health (JOH),2355-8857,2407-6376,Indonesian,LPPM STIKES Guna Bangsa Yogyakarta,False,CC BY,True
Journal of Chromatography Open,N/A,2772-3917,English,Elsevier,False,"CC BY, CC BY-NC-ND",True
Territoires du Vin,N/A,1760-5296,French,Université de Bourgogne,False,CC BY,False
Physics Education Research Journal,2685-6190,2714-7746,"English, Indonesian",Universitas Islam Negeri Walisongo Semarang,False,CC BY-SA,False
Krisis,N/A,1875-7103,"English, Dutch",University of Groningen Press,False,CC BY,False
Journal of International Economics and Management,2615-9856,N/A,English,"HDV INSER., JSC",False,CC BY-NC,False
ALTEX: Alternatives to Animal Experimentation,N/A,1868-596X,English,Springer Spektrum,False,CC BY,True
Sukkur IBA Journal of Emerging Technologies,2616-7069,2617-3115,English,Sukkur IBA University,False,CC BY-NC,False
Journal of Student-Run Clinics,N/A,2474-9354,English,Society of Student-Run Free Clinics,False,CC BY,False
Литературный факт,2541-8297,2542-2421,"English, Russian",Russian Academy of Sciences. A.M. Gorky Institute of World Literature,False,CC BY,False
آموزش پزشکی,2322-4940,2345-5497,Persian,Babol University of Medical Sciences,False,CC BY-NC,False
LingVaria,1896-2122,2392-1226,"Polish, English, Russian, German, French",Ksiegarnia Akademicka Publishing,False,CC BY-NC-ND,False
Airea,N/A,2516-8061,English,University of Edinburgh Library,False,CC BY,False
JAm It!,N/A,2612-5641,"English, Italian",Università degli Studi di Torino,False,CC BY-NC-ND,False
Politeja,1733-6716,2391-6737,"Polish, English",Ksiegarnia Akademicka Publishing,False,CC BY-NC-ND,False
Journal of Coloproctology,2237-9363,2317-6423,English,Thieme Revinter Publicações Ltda.,False,"CC BY, CC BY-NC-ND",False
Инженерные технологии и системы,2658-4123,2658-6525,"English, Russian",National Research Mordova State University; MRSU,False,CC BY,False
Canadian Medical Education Journal,N/A,1923-1202,"English, French",Canadian Medical Education Journal,False,CC BY-NC-ND,False
Cadernos de Pesquisa,0100-1574,N/A,"Spanish, Portuguese, English",Fundação Carlos Chagas,False,CC BY-NC,False
Cogitare Enfermagem,1414-8536,2176-9133,"English, Portuguese, Spanish",Universidade Federal do Paraná,False,CC BY,True
Славянский мир в третьем тысячелетии,2412-6446,N/A,Russian,"Russian Academy of Sciences, Institute of Slavic Studies",False,CC BY-ND,False
"Plural: History, Culture, Society",2345-1262,2345-184X,"English, French, German, Romanian, Russian",Editura ARC,False,CC BY-NC-ND,False
"21: Inquiries into Art, History, and the Visual",2701-1569,2701-1550,"English, French, German, Italian",arthistoricum.net,False,CC BY-NC-ND,False
Hermeneutische Blätter,1660-5403,1660-5578,"English, German",Institut für Hermeneutik und Religionsphilosophie,False,CC BY-NC-ND,False
Hydrologie und Wasserbewirtschaftung,1439-1783,N/A,German,Bundesanstalt für Gewässerkunde,False,CC BY,False
Journal of Tourism Analysis,N/A,2254-0644,"Spanish, English",Asociación Española de Expertos Científicos en Turismo (AECIT),False,"CC BY, CC BY-NC",False
Repères DoRiF,N/A,2281-3020,French,DoRiF Università,False,CC BY-NC-ND,False
EduHumaniora: Jurnal Pendidikan Dasar,2085-1243,2579-5457,"English, Indonesian",Universitas Pendidikan Indonesia,False,CC BY-SA,True
Mining Machines,N/A,2719-3306,English,KOMAG Institute of Mining Technology,False,CC BY-NC,False
Jurnal Ilmu Keperawatan Maternitas,N/A,2621-2994,Indonesian,Persatuan Perawat Nasional Indonesia Jawa Tengah,False,CC BY,True
Journal of Fundamental and Applied Pharmaceutical Science,2723-7648,2723-763X,English,Universitas Muhammadiyah Yogyakarta,False,CC BY-SA,False
The Journal of The British Blockchain Association,2516-3949,2516-3957,English,The British Blockchain Association,False,CC BY,True
Jurnal Kajian Anak,2686-5343,2715-7989,"English, Indonesian",Universitas Muhammadiyah Metro,False,CC BY,True
Известия Саратовского университета. Новая серия: Серия «Экономика. Управление. Право»,1994-2540,2542-1956,"English, Russian",Saratov State University,True,CC BY,False
Известия Саратовского университета. Новая серия: Серия Химия. Биология. Экология,1816-9775,2541-8971,"English, Russian",Saratov State University,True,CC BY,False
Journal of Business Strategies,0887-2058,2162-6901,English,Sam Houston State University,False,CC BY-NC,False
Север и рынок: формирование экономического порядка,2220-802X,N/A,"English, Russian","The Russian Academy of Sciences, Federal Research Centre Kola Science Centre",False,CC BY,False
Crítica Historiográfica,N/A,2764-2666,"Portuguese, English, Spanish, French, Italian",Universidade Federal do Rio Grande do Norte,False,CC BY-SA,False
Дифференциальная геометрия многообразий фигур,0321-4796,2782-3229,"Russian, English",Immanuel Kant Baltic Federal University,False,CC BY,False
Le Simplegadi,N/A,1824-5226,"Italian, English",University of Udine,True,CC BY,False
Indonesian Midwifery and Health Sciences Journal,N/A,2656-7806,"English, Indonesian",Universitas Airlangga,True,CC BY-SA,True
Cross-Cultural Management Journal,N/A,2286-0452,English,Romanian Foundation for Business Intelligence,False,CC BY-ND,True
Métodos y Materiales,2215-342X,2215-4558,Spanish,Universidad de Costa Rica,False,CC BY-NC-ND,False
Revista Encontros,1807-3867,2447-6196,Portuguese,Departamento de História - Colégio Pedro II,False,CC BY-NC-SA,False
Экспериментальная психология,2072-7593,2311-7036,Russian,Moscow State University of Psychology and Education,False,CC BY-NC,False
Гуманитарный вектор,1996-7853,2542-0038,Russian,Transbaikal State University,False,CC BY,False
AGIT: Journal für Angewandte Geoinformatik,2364-9283,2509-713X,"English, German","Wichmann Verlag, VDE VERLAG GMBH",False,CC BY-ND,True
International Journal of Psychology: A Biopsychosocial Approach,1941-7233,2345-024X,English,Vytautas Magnus University,False,CC BY-NC,False
مجلة كلية التربية للبنات,1680-8738,2663-547X,"Arabic, English",College of Education for Women,False,CC BY,True
International Journal for Court Administration,N/A,2156-7964,English,International Association for Court Administration,True,CC BY,False
"Економіка, Eкологія, Cоціум",N/A,2616-7107,"English, Ukrainian",Institute for Market Problems and Economic-and-Ecological Research of the National Academy of Sciences of Ukraine,False,CC BY-NC,True
Didáctica Geográfica,0210-492X,2174-6451,"English, French, Portuguese, Spanish",Asociación Española de Geografía,False,CC BY-NC-SA,False
Biblos,0870-4112,2183-7139,Portuguese,Coimbra University Press,False,CC BY,False
Yearbook of Balkan and Baltic Studies,2613-7844,2613-7852,English,ELM Scholarly Press,False,CC BY-NC-ND,False
Ingeniería,0121-750X,2344-8393,Spanish,Universidad Distrital Francisco José de Caldas,False,CC BY-NC-ND,False
Uqyānūs/shināsī,1562-1057,2476-6755,Persian,Regional Information Center for Science and Technology (RICeST),False,CC BY,True
Istraživanja u Pedagogiji,2217-7337,2406-2006,English,"Preschool Teacher Training College ""Mihailo Palov""",False,CC BY,False
Žurnal Grodnenskogo Gosudarstvennogo Medicinskogo Universiteta,2221-8785,2413-0109,"Belarusian, English, Russian",Grodno State Medical University,False,CC BY,False
Psicooncologia,1696-7240,1988-8287,Spanish,Universidad Complutense de Madrid,False,CC BY,False
The Asia Pacific Scholar,2424-9335,2424-9270,English,National University of Singapore,False,CC BY-NC,False
Fondatia : Jurnal Pendidikan Dasar,2656-5390,2579-6194,"English, Indonesian",Prodi Pendidikan Guru Madrasah Ibtidaiyah,False,CC BY,True
Revista Brasileira de Pesquisa em Ciências da Saúde,N/A,2446-5577,"English, Portuguese, Spanish",Centro Universitário ICESP de Brasília,False,CC BY,False
RNA & DISEASE,N/A,2375-2467,English,Smart Science & Technology LLC,False,CC BY,False
Contratexto,1025-9945,1993-4904,"Portuguese, English, Spanish",Universidad de Lima,False,CC BY,False
Anthropologica,0254-9212,2224-6428,Spanish,Pontificia Universidad Católica del Perú,False,CC BY-NC,False
CorSalud,N/A,2078-7170,"Spanish, English",Cardiocentro Ernesto Che Guevara,False,Publisher's own license,False
Journal of Techno-Social,2229-8940,N/A,"English, Malay (macrolanguage)",Penerbit UTHM,False,Publisher's own license,False
Władza Sądzenia,N/A,2300-1690,Polish,Katedra Socjologii Polityki i Moralności Wydział Ekonomiczno-Socjologiczny Uniwersytet Łódzki,False,CC BY-NC-SA,False
Boletim do Observatório Ambiental Alberto Ribeiro Lamego,1981-6197,2177-4560,"English, Portuguese, Spanish",Essentia Editora,False,CC BY,False
JINOP (Jurnal Inovasi Pembelajaran),2443-1591,2460-0873,"English, Indonesian",Universitas Muhammadiyah Malang,False,CC BY,False
Noctua,N/A,2284-1180,"Spanish, Portuguese, Italian, German, French, English",E-theca OnLineOpenAccess Edizioni,False,CC BY,False
Bulletin of the International Association for Paleodontology,N/A,1846-6273,English,International Association for Paleodontology,False,CC BY-NC-ND,False
Riset Akuntansi dan Keuangan Indonesia,N/A,2541-6111,"English, Indonesian",Muhammadiyah University Press,False,CC BY-NC-SA,False
Jurnal Veteriner,1411-8327,N/A,"Indonesian, English",Universitas Udayana,False,CC BY,True
Farmacéuticos Comunitarios,1885-8619,2173-9218,Spanish,SEFAC,False,CC BY-NC-ND,False
Interação em Psicologia,1981-8068,1981-8076,"English, Portuguese",Universidade Federal do Paraná,False,CC BY-NC,False
Jurnal Keuangan dan Perbankan,1410-8089,2443-2687,"English, Indonesian",Universitas Merdeka Malang,False,CC BY-SA,False
Journal of Breast Cancer,1738-6756,2092-9900,"English, Korean",Se Jeong Oh,False,CC BY-NC,True
حسابداری سلامت,2252-0473,2252-0546,Persian,Shiraz University of Medical Sciences,False,CC BY-NC-ND,False
International Series on Information Systems and Management in Creative eMedia,N/A,2341-5576,English,International Ambient Media Association (iAMEA),False,CC BY-NC-ND,False
Jurnal Benefita,N/A,2477-7862,Indonesian,Lembaga Layanan Pendidikan Tinggi Wilayah X,False,CC BY,True
Bearing Witness: Joyce Carol Oates Studies,N/A,2373-275X,English,University of San Francisco,False,CC BY,False
Ihtifaz,2622-4755,2622-4798,"English, Indonesian",Universitas Ahmad Dahlan,False,CC BY-SA,False
Jurnal Linguistik Komputasional,N/A,2621-9336,"English, Indonesian",Indonesia Association of Computational Linguistics (INACL),False,CC BY-NC-SA,False
Huellas,0329-0573,2362-5643,"Portuguese, Spanish",Universidad Nacional de La Pampa. Facultad de Ciencias Humanas,False,CC BY-NC-SA,False
History of Science in South Asia,N/A,2369-775X,"English, Sanskrit",University of Alberta,False,CC BY-SA,False
Jurnal Kawistara,2088-5415,2355-5777,"English, Indonesian",Universitas Gadjah Mada,False,CC BY-SA,True
"International Journal of Aviation, Aeronautics, and Aerospace",N/A,2374-6793,English,Embry-Riddle Aeronautical University,False,CC BY-NC-ND,False
Comunicologia,N/A,1981-2132,Portuguese,Universidade Católica de Brasília,False,CC BY,False
Revista de Ciencia y Tecnología,0329-8922,1851-7587,"English, Portuguese, Spanish",Universidad Nacional de Misiones,False,CC BY-NC,False
Universidad y Empresa,0124-4639,2145-4558,"English, Spanish",Universidad del Rosario,False,CC BY-NC,False
Vìsnik Odesʹkogo Nacìonalʹnogo Unìversitetu: Hìmìâ,2304-0947,2414-5963,"English, Russian, Ukrainian",Odessa I. I. Mechnikov National University,False,CC BY-SA,False
Revista Nacional de Administración,1659-4908,1659-4932,Spanish,Universidad Nacional de Educación a Distancia (UNED),False,CC BY,False
Iatreia,0121-0793,2011-7965,Spanish,Universidad de Antioquia,False,CC BY-NC-SA,False
Novum,0121-5698,2357-4933,Spanish,Universidad Nacional de Colombia,False,CC BY-NC-SA,False
Al-Ta'rib,2354-5887,2655-5867,"Arabic, English, Indonesian",Institut Agama Islam Negeri (IAIN) Palangka Raya,False,CC BY-SA,False
"Naukovij Vìsnik Nacìonalʹnogo Unìversitetu Bìoresursìv ì Prirodokoristuvannâ Ukraïni. Serìâ: Ekonomìka, Agrarnij Menedžment ta Bìznes",2222-8586,2415-7627,"English, Russian, Ukrainian",National University of Life and Environmental Sciences of Ukraine,False,CC BY-NC-SA,True
Вісник Харківського національногоуніверситету імені В.Н. Каразіна. Серія: Радіофізика та електроніка,2311-0872,N/A,"English, Russian, Ukrainian",V. N. Karazin Kharkiv National University,False,CC BY,False
"Журнал Белорусского государственного университета: География, геология",2521-6740,2617-3972,"Belarusian, English, Russian",Belarusian State University,False,CC BY-NC,False
Erga-Logoi,2280-9678,2282-3212,"English, French, German, Italian, Spanish",LED Edizioni Universitarie,False,CC BY-NC-ND,False
Investigaciones Regionales - Journal of Regional Research,1695-7253,2340-2717,"English, Spanish",AECR,False,Publisher's own license,False
Heterocyclic Communications,N/A,2191-0197,English,De Gruyter,False,"CC BY, CC BY-NC-ND",True
Endoscopy International Open,2364-3722,2196-9736,English,Georg Thieme Verlag KG,False,"CC BY, CC BY-NC-ND",True
Culture e Studi del Sociale,N/A,2531-3975,"English, Italian",University of Salerno,False,CC BY-NC-ND,False
International Journal of the First Year in Higher Education,N/A,1838-2959,English,Queensland University of Technology,False,CC BY,False
Kaibon Abhinaya,N/A,2657-1110,"English, Indonesian",Universitas Serang Raya,False,CC BY,True
Bunron,N/A,2199-2754,"English, German, Japanese",Universität Heidelberg - Japanologie,False,CC BY,False
Revista Ciencias Marinas y Costeras,1659-455X,1659-407X,"English, Spanish","Universidad Nacional, Costa Rica",False,CC BY-NC-SA,False
Uniciencia,1011-0275,2215-3470,Spanish,"Universidad Nacional, Costa Rica",False,CC BY-NC-ND,False
"JEET, Journal of English Education and Technology",N/A,2721-3811,English,Asosiasi Dosen Pengembang Masyarakat (ADPEMAS) Forum Komunikasi Dosen Peneliti (FKDP),False,CC BY-SA,False
"Espacio, Tiempo y Educación",N/A,2340-7263,"English, Italian, Spanish",FahrenHouse,False,CC BY-NC,False
"GEPROS: Gestão da Produção, Operações e Sistemas",N/A,1984-2430,"English, Portuguese",Universidade Estadual Paulista,False,CC BY-NC,False
Mundo Livre,N/A,2525-5819,Portuguese,Universidade Federal Fluminense (UFF),False,CC BY,False
Health and Interprofessional Practice,N/A,2159-1253,English,Pacific University Library,False,CC BY,False
Revista de Cultura Teologica,0104-0529,2317-4307,"English, French, Portuguese",Pontifícia Universidade Católica de São Paulo,False,CC BY-NC-SA,False
Cuadernos AISPI,2283-981X,N/A,"Italian, Spanish",Ledizioni,False,CC BY-NC-ND,False
Scienze del Territorio,2384-8774,2284-242X,"English, Italian",Firenze University Press,False,CC BY,False
Maal og Minne,0024-855X,1890-5455,"Danish, English, Norwegian Bokmål, Norwegian Nynorsk, Swedish",Novus forlag,False,CC BY-SA,False
Psico-USF,1413-8271,2175-3563,"English, Portuguese, Spanish",Universidade de São Francisco,False,CC BY,False
Revista Perspectivas,1994-3733,2411-0566,Spanish,Universidad Católica Boliviana,False,CC BY,False
Проблемы анализа,2306-3424,2306-3432,"Russian, English",Petrozavodsk State University,False,CC BY-NC,False
European Medical Journal Reproductive Health,N/A,2059-450X,English,European Medical Journal,False,CC BY-NC,False
Veritas et Justitia,2460-0555,2460-4488,"English, Indonesian",Parahyangan Catholic University,False,CC BY,False
El Oído Pensante,N/A,2250-7116,"English, Portuguese, Spanish","Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras (Universidad de Buenos Aires)",False,CC BY-NC,False
Revista Analisando em Ciência da Informação,N/A,2317-9708,Portuguese,Universidade Estadual da Paraíba,False,CC BY-NC,False
"Rainbow: Journal of Literature, Linguistics and Culture",2252-6323,2721-4540,English,Universitas Negeri Semarang,False,CC BY,False
Jurnal Bidang Pendidikan Dasar,2549-0117,2549-0125,Indonesian,Universitas Kanjuruhan Malang,False,CC BY-SA,True
Science Diliman,0115-7809,2012-0818,English,University of the Philippines,False,Publisher's own license,False
PROFESORADO,1138-414X,1989-6395,Spanish,"Grupo FORCE, Universidad de Granada",False,CC BY-NC-ND,False
Archivum Mathematicum,0044-8753,1212-5059,English,Masarykova Universita,False,CC BY-NC-ND,False
Nirmana,0215-0905,N/A,"English, Indonesian",Petra Christian University,False,CC BY,False
Estudios Demográficos y Urbanos,0186-7210,2448-6515,Spanish,"El Colegio de México, A.C.",False,CC BY-NC-ND,False
Ranah: Jurnal Kajian Bahasa,2338-8528,2579-8111,"English, Indonesian",Badan Pengembangan dan Pembinaan Bahasa,False,CC BY-NC-SA,False
JFMR-Journal of Fisheries and Marine Research,N/A,2581-0294,"English, Indonesian",University of Brawijaya,False,CC BY-NC,False
Ius et Praxis,0717-2877,0718-0012,Spanish,Universidad de Talca,False,CC BY,False
Global Economic Observer,2343-9742,2343-9750,English,Nicolae Titulescu University,False,CC BY-SA,False
Journal of Statistical Software,N/A,1548-7660,English,Foundation for Open Access Statistics,False,CC BY,False
Risco: Revista de Pesquisa em Arquitetura e Urbanismo,N/A,1984-4506,Portuguese,Universidade de São Paulo,False,CC BY-NC-SA,False
Jurnal Pendidikan Matematika dan IPA,2086-0234,N/A,Indonesian,Universitas Tanjungpura Pontianak,False,CC BY,False
Revista de Estudios de Seguridad Internacional,N/A,2444-6157,Spanish,Universidad de Granada,False,CC BY-NC,False
International Journal Pedagogy of Social Studies,2550-0600,2549-6530,"English, Indonesian",Universitas Pendidikan Indonesia,False,CC BY-SA,False
European Medical Journal Oncology,N/A,2054-619X,English,European Medical Journal,False,CC BY-NC,False
Temporalidades,N/A,1984-6150,Portuguese,Universidade Federal de Minas Gerais,False,CC BY,False
Educação Online,N/A,1809-3760,"English, Portuguese, Spanish",Pontifical Catholic University of Rio de Janeiro (PUC-Rio),False,Publisher's own license,False
Desafios,N/A,2359-3652,"English, Portuguese, Spanish",Universidade Federal do Tocantins,False,CC BY-NC,False
disClosure: A Journal of Social Theory,1055-6133,2332-9246,English,University of Kentucky,False,CC BY-NC,False
Simbiosis: Journal of Biological Sciences,2337-7224,N/A,"Indonesian, English",Universitas Udayana,False,CC BY,True
Survey Research Methods,N/A,1864-3361,English,European Survey Research Association,False,Publisher's own license,False
Politai,2219-4142,2415-2498,Spanish,Asociación Civil Politai,False,CC BY,False
Meta-Carto-Semiotics,N/A,1868-1387,"German, English",meta-carto-semiotics,False,CC BY-NC-ND,False
Revista Estudo & Debate,N/A,1983-036X,Portuguese,Editora Univates,False,CC BY-NC,False
Revista Debates,2236-479X,1982-5269,Portuguese,Universidade Federal do Rio Grande do Sul,False,CC BY,False
Revista Electrónica de Enseñanza de las Ciencias (REEC),N/A,1579-1513,"English, French, Portuguese, Spanish",Universidade de Vigo,False,CC BY,False
Jurnal Sain Veteriner,N/A,2407-3733,Indonesian,Universitas Gadjah Mada,False,CC BY-SA,True
Territorio Italia,N/A,2499-2674,English,Agenzia delle Entrate,False,CC BY-NC,False
Boletim Gaùcho de Geografia,0101-7888,2357-9447,"Spanish, Portuguese","Associação dos Geógrafos Brasileiros, Seção de Porto Alegre",False,CC BY,False
Global Medical & Health Communication,2301-9123,2460-5441,"English, Indonesian",Universitas Islam Bandung,False,CC BY-NC-SA,True
Revista Latino Americana de Estudos em Cultura e Sociedade,N/A,2525-7870,"Portuguese, Spanish",Centro Latino-Americano de Estudos em Cultura,False,CC BY-NC,False
feminists@law,N/A,2046-9551,English,University of Kent,False,CC BY,False
Logistics Research,1865-035X,1865-0368,English,BVL,False,CC BY,False
Pythagoras: Jurnal pendidikan Matematika,1978-4538,2527-421X,Indonesian,Universitas Negeri Yogyakarta,False,CC BY,False
Contemporanea : Revista de Comunicação e Cultura,1806-0269,1809-9386,Portuguese,Universidade Federal da Bahia,False,CC BY,False
Publicum,N/A,2447-7982,Portuguese,Universidade do Estado do Rio de Janeiro,False,CC BY-NC,False
Infection Epidemiology and Medicine,2322-2298,2345-4946,English,University of Tarbiat Modares,False,CC BY-NC,False
European Medical Journal Rheumatology,N/A,2056-6395,English,European Medical Journal,False,CC BY-NC,False
Aquatic Biology,1864-7782,1864-7790,English,Inter-Research,False,CC BY,True
Jurnal Pendidikan Matematika,1978-0044,2549-1040,Indonesian,Universitas Sriwijaya,False,CC BY-NC-SA,False
